area,name,rating,total_rate
信義區,阿公的汪喵厝-寵物友善餐廳,4.9,107
信義區,logy,4.4,364
信義區,JK STUDIO 新義法料理,4.7,1562
信義區,A.I.O餐廳,4.6,363
信義區,AGUSTO 奧古斯托義法料理 大安店,4.8,775
信義區,筷子餐廳,4.2,568
信義區,上吉燒肉-東區燒肉美食餐廳 台北燒肉餐廳 台北和牛餐廳推薦 日式燒肉燒烤,4.9,713
信義區,Pay My Tuition Restaurant,4.4,318
信義區,曹料理,4.6,433
信義區,YEN Taipei,4.3,1127
信義區,筷炒KUAICHAO,4.4,569
信義區,Lawry's The Prime Rib,4.3,1972
信義區,11 Eleven Caf?,4.5,1459
信義區,Fenxiang Restaurant,4.1,173
信義區,the kitchen table,3.7,1029
信義區,JE Kitchen,4.4,605
信義區,蘇耐吉泰式廚房,3.9,418
信義區,chateau zoe 酒窖餐廳,4.5,311
信義區,聚·港時,4.4,684
信義區,ABV Bar & Kitchen 地中海餐酒館-精釀Beer餐廳,4.4,2076
信義區,Orchid Restaurant 蘭,4.5,1168
信義區,ABV Bar & Kitchen - ABV Caribbean,4.4,1529
信義區,新東南海鮮餐廳 松山店,4.3,4536
信義區,Woodid??手作韓食（寵物友善餐廳）,4.3,140
信義區,頂鮮台南擔仔麵 台北101店 (DingXian Taipei),4.7,4453
信義區,French Windows British Teahouse 琺蘭綺?朵英式茶餐館,4.8,2819
信義區,Snail Italian Restaurant,4.6,3694
信義區,世貿名人坊,4.5,298
信義區,喜憨兒ENJOY 臺北餐廳,4.5,226
信義區,磚窯古早料理餐廳創始店,4.3,873
信義區,金山客家小館 創始店,4.2,772
信義區,尖牙義式廚房-台北南京店,4.5,959
信義區,KIKI餐廳 (延吉創始店),4.1,1377
信義區,Hooters美式餐廳 信義店,4.4,884
信義區,Balle Balle Indian Restaurant & Bar 巴雷巴雷 印度餐廳,4.8,4652
信義區,TakeOut Burger&Cafe 通化店,4.4,776
信義區,KiKi Eslite Xinyi Restaurant,4.2,1853
信義區,Shalom新美式餐廳,4.1,122
信義區,JOYCE EAST,4.3,469
信義區,好食在食堂-松山區熱炒海鮮餐廳,4,295
信義區,艾朋牛排餐酒館 ? POINT STEAK & BAR,4.6,3538
信義區,富錦樹台菜香檳,4.1,960
信義區,In Between,4.1,368
信義區,TGI FRIDAYS Xinyi Restaurant,4.1,2139
信義區,Diamond Tony's Italian Restaurant 101,4.1,2865
信義區,聚聚樓 eslite garden,4.2,70
信義區,theDiner Xinyi Restaurant,4,2609
信義區,大師廚館/台北美食 台北年菜 松山區美食 松山區年菜 松山區尾牙餐廳 民生社區美食 民生社區餐廳,4.1,216
信義區,Tuga,4.4,1024
信義區,莊敬路鴻園餐廳,4,187
信義區,TGI FRIDAYS 星期五美式餐廳 松高餐廳,4.1,591
信義區,Hao Wei Wu Restaurant,4.1,107
信義區,食米,4.4,314
信義區,INPARADISE 饗饗,4.3,6921
信義區,Bel Air Bar & Grill Grand Hyatt Taipei,4.3,536
信義區,Wayne’s New York 瑋恩紐約美式龍蝦牛排餐廳,4.5,454
信義區,暮暮烏龍麵,4.4,504
信義區,北平采芝樓餐廳,3.9,482
信義區,蔬漫小姐Miss Shumaan.house,4.5,1211
信義區,都一處 仁愛店,4,1924
內湖區,Moonlight Cantonese Restaurant,4.2,1084
內湖區,布娜飛小酒館南港店BravoCafe draft beer bar,4.7,623
內湖區,FACILE 法斯樂,4.5,250
